customer_id,first_name,last_name,gender,date_of_birth,email,phone_number,city,state,region,postal_code,join_date,membership_tier,acquisition_channel,preferred_channel,customer_status,loyalty_points,annual_income,household_size
48,Arin,Munshi,Male,2006-02-18,arin.munshi436@gmail.com,6923013001,Ahmedabad,Gujarat,West,700185,2022-01-14,Bronze,Referral,Online,Active,1,1070313,2
49,Sachi,Ranganathan,Female,1975-02-23,sachi.ranganathan452@gmail.com,07993353894,Chennai,Tamil Nadu,South,993688,2023-02-27,Bronze,Referral,Both,Active,463,823928,4
50,Nathan,Shroff,Male,1958-02-23,nathan.shroff382@gmail.com,09841602176,Kolkata,West Bengal,East,596594,2021-12-03,Silver,Organic Search,Store,Active,1263,492431,2
51,Jason,Brahmbhatt,Male,1978-01-15,jason.brahmbhatt115@gmail.com,1764339151,Lucknow,Uttar Pradesh,North,495135,2025-12-29,Gold,Email,Store,Active,5801,240194,7
52,Yadavi,Kapadia,Female,2007-06-29,yadavi.kapadia197@gmail.com,4028167718,Lucknow,Uttar Pradesh,North,612941,2026-04-18,Bronze,Google Ads,Both,Active,78,1429374,2
53,Sai,Biswas,Male,1997-05-21,sai.biswas153@gmail.com,5525378641,Jaipur,Rajasthan,North,123771,2023-03-13,Silver,Referral,Both,Active,551,1876704,7
54,Chaitanya,Ratta,Male,1990-08-16,chaitanya.ratta631@gmail.com,0814666904,Delhi,Delhi,North,749772,2024-11-09,Silver,Email,Both,Active,1016,641107,4
55,Rudra,De,Male,1961-11-16,rudra.de248@gmail.com,+913305239850,Mumbai,Maharashtra,West,247081,2023-06-10,Silver,Google Ads,Online,Active,718,930387,4
56,Abeer,Sarraf,Male,1985-11-05,abeer.sarraf691@gmail.com,6180983043,Chennai,Tamil Nadu,South,753103,2023-07-30,Bronze,Organic Search,Online,Active,429,2498107,7
57,Saanvi,Natarajan,Female,1995-05-11,saanvi.natarajan684@gmail.com,6070222623,Hyderabad,Telangana,South,127985,2023-03-30,Silver,Organic Search,Both,Active,1583,328584,5
58,Ekaja,Merchant,Female,1970-08-28,ekaja.merchant743@gmail.com,+918575524276,Pune,Maharashtra,West,425548,2022-07-21,Silver,Google Ads,Online,Active,1166,1825865,2
59,Niharika,Hari,Female,1999-01-25,niharika.hari821@gmail.com,1934346827,Ahmedabad,Gujarat,West,687451,2025-08-04,Bronze,Meta Ads,Store,Active,338,2265502,7
60,Jhalak,Lata,Female,1988-01-19,jhalak.lata201@gmail.com,1387135835,Pune,Maharashtra,West,741677,2023-06-19,Gold,App Install,Online,Active,4544,427646,1
61,Netra,Bhargava,Female,2006-07-09,netra.bhargava694@gmail.com,+911380321474,Mumbai,Maharashtra,West,621622,2025-09-29,Gold,Referral,Store,Active,4128,552823,4
62,Advik,Sankaran,Male,1981-07-09,advik.sankaran566@gmail.com,5530517631,Lucknow,Uttar Pradesh,North,917856,2024-08-25,Bronze,Meta Ads,Both,Active,405,1114902,1
63,Max,Kulkarni,Male,1971-03-21,max.kulkarni857@gmail.com,+910117057686,Pune,Maharashtra,West,028806,2025-03-20,Gold,App Install,Both,Active,3169,1715255,7
64,Warhi,Seshadri,Female,1983-10-11,warhi.seshadri899@gmail.com,6357274298,Delhi,Delhi,North,990572,2021-12-08,Bronze,Google Ads,Online,Active,497,1665340,5
65,Fiyaz,Sridhar,Male,1999-05-09,fiyaz.sridhar178@gmail.com,5350087438,Pune,Maharashtra,West,794745,2023-01-27,Silver,Google Ads,Store,Active,1783,1143384,6
66,Tristan,Shankar,Male,1981-04-03,tristan.shankar918@gmail.com,06249214618,Hyderabad,Telangana,South,116377,2023-07-12,Silver,App Install,Store,Active,632,795650,7
67,Sara,Srivastava,Female,2007-10-23,sara.srivastava186@gmail.com,5348351693,Lucknow,Uttar Pradesh,North,406876,2026-01-16,Bronze,Organic Search,Online,Active,91,2224374,3
68,Nirja,Kapoor,Female,1998-04-02,nirja.kapoor745@gmail.com,+918330436657,Ahmedabad,Gujarat,West,541128,2021-09-30,Bronze,Email,Store,Active,238,2122224,4
69,Vivaan,Saha,Male,1977-02-24,vivaan.saha669@gmail.com,02164473210,Pune,Maharashtra,West,374503,2022-07-30,Gold,App Install,Store,Active,2555,1916716,2
70,Ethan,Ghose,Male,1974-03-02,ethan.ghose426@gmail.com,8088513415,Mumbai,Maharashtra,West,907249,2026-03-23,Bronze,Email,Store,Inactive,170,1362296,4
71,Mohammed,Sethi,Male,1974-05-02,mohammed.sethi747@gmail.com,+911206306836,Lucknow,Uttar Pradesh,North,060295,2024-10-18,Bronze,Organic Search,Store,Active,169,1615862,1
72,Vanya,Chand,Female,1979-08-15,vanya.chand512@gmail.com,+917659813614,Chennai,Tamil Nadu,South,926898,2025-02-16,Bronze,Organic Search,Online,Active,499,1935262,6
73,Sudiksha,Dhar,Female,1965-07-05,sudiksha.dhar345@gmail.com,01332429283,Bengaluru,Karnataka,South,100270,2025-06-12,Bronze,App Install,Store,Active,490,809768,7
74,Rajata,Banerjee,Female,1990-07-26,rajata.banerjee291@gmail.com,+916625319382,Bengaluru,Karnataka,South,806148,2025-04-19,Bronze,App Install,Store,Active,398,465042,1
75,Gaurav,Subramanian,Male,1962-07-18,gaurav.subramanian309@gmail.com,+911194536303,Kolkata,West Bengal,East,550808,2024-04-17,Bronze,Meta Ads,Store,Active,337,336018,5
76,Bhavika,Master,Female,1996-11-10,bhavika.master589@gmail.com,+914973643837,Jaipur,Rajasthan,North,453434,2022-05-13,Bronze,Email,Both,Active,433,1221730,7
77,Gunbir,Chhabra,Male,1980-02-14,gunbir.chhabra268@gmail.com,6928318242,Jaipur,Rajasthan,North,071351,2025-02-18,Gold,Meta Ads,Both,Active,5309,2374352,2
78,Vedhika,Arya,Female,1987-02-10,vedhika.arya875@gmail.com,07054921586,Kolkata,West Bengal,East,510850,2025-07-23,Bronze,Meta Ads,Both,Active,94,1995162,1
79,Varsha,Baria,Female,2008-05-29,varsha.baria642@gmail.com,04905984708,Chennai,Tamil Nadu,South,553792,2024-01-22,Gold,Organic Search,Online,Active,4978,1349651,3
80,Udarsh,Dara,Male,1994-03-26,udarsh.dara155@gmail.com,3598189095,Hyderabad,Telangana,South,539693,2024-11-04,Bronze,Email,Both,Active,453,1939210,2
81,Aarav,Kunda,Male,1989-12-22,aarav.kunda442@gmail.com,+914706396882,Mumbai,Maharashtra,West,613638,2021-11-01,Bronze,Organic Search,Online,Active,333,314902,4
82,Yashawini,Pai,Female,2006-10-01,yashawini.pai656@gmail.com,03127058199,Mumbai,Maharashtra,West,881954,2023-10-13,Bronze,Google Ads,Store,Active,125,1566272,6
83,Osha,Roy,Female,1955-11-17,osha.roy869@gmail.com,+916970963594,Lucknow,Uttar Pradesh,North,928047,2025-08-31,Bronze,App Install,Both,Inactive,92,1887181,2
84,Vihaan,Mohanty,Male,1977-11-13,vihaan.mohanty756@gmail.com,+917335789946,Bengaluru,Karnataka,South,312504,2023-05-02,Bronze,Google Ads,Both,Active,484,2328490,5
85,Madhav,Ahluwalia,Male,2005-06-05,madhav.ahluwalia745@gmail.com,1325197925,Bengaluru,Karnataka,South,309923,2022-07-19,Bronze,Organic Search,Online,Active,339,434486,6
86,Yutika,Walia,Female,1964-07-01,yutika.walia376@gmail.com,09153858344,Lucknow,Uttar Pradesh,North,392124,2023-01-30,Bronze,Referral,Store,Active,77,1753080,5
87,Balveer,Kaul,Male,1987-11-07,balveer.kaul507@gmail.com,0784910653,Mumbai,Maharashtra,West,127847,2024-04-12,Bronze,Email,Online,Active,232,1746250,4
88,Matthew,Amble,Male,1961-05-05,matthew.amble659@gmail.com,+910073104292,Ahmedabad,Gujarat,West,780971,2024-06-20,Bronze,Meta Ads,Store,Active,75,1212796,4
89,Ekantika,Dugal,Female,1964-06-26,ekantika.dugal438@gmail.com,1171279125,Bengaluru,Karnataka,South,509995,2024-02-11,Silver,Meta Ads,Online,Active,536,1635001,7
90,Anay,Koshy,Male,1965-08-02,anay.koshy127@gmail.com,+916240724789,Lucknow,Uttar Pradesh,North,610095,2026-03-01,Bronze,Referral,Online,Active,377,2401861,5
91,Charita,Din,Female,1955-08-26,charita.din495@gmail.com,2925371754,Pune,Maharashtra,West,876992,2021-12-15,Platinum,Organic Search,Online,Active,19874,844186,6
92,Hredhaan,Prabhu,Male,1984-01-06,hredhaan.prabhu481@gmail.com,+915197063605,Chennai,Tamil Nadu,South,957482,2024-03-03,Bronze,Google Ads,Online,Active,119,355873,2
93,Wishi,Baral,Female,2005-10-08,wishi.baral138@gmail.com,9344515517,Chennai,Tamil Nadu,South,973849,2025-11-16,Silver,Referral,Online,Active,776,650834,7
94,Ethan,Samra,Male,1969-10-06,ethan.samra953@gmail.com,+919901628700,Delhi,Delhi,North,010950,2023-10-06,Bronze,Google Ads,Store,Active,169,454080,3
95,Rushil,Goyal,Male,1988-08-07,rushil.goyal838@gmail.com,4414738754,Chennai,Tamil Nadu,South,721083,2022-03-12,Bronze,Organic Search,Both,Active,258,623413,4
96,Elijah,Choudhary,Male,1980-11-02,elijah.choudhary790@gmail.com,05185179620,Lucknow,Uttar Pradesh,North,926232,2024-10-01,Silver,Email,Online,Active,529,1165619,7
97,Reyansh,Pathak,Male,2002-10-12,reyansh.pathak605@gmail.com,+918074892759,Hyderabad,Telangana,South,304543,2022-10-25,Gold,Organic Search,Store,Inactive,4799,572620,4
98,Bhavini,Shenoy,Female,1963-07-01,bhavini.shenoy127@gmail.com,0088535658,Ahmedabad,Gujarat,West,402326,2022-11-22,Platinum,Organic Search,Online,Active,9031,1972991,4
99,Omya,Joshi,Female,1975-11-27,omya.joshi129@gmail.com,05010496968,Chennai,Tamil Nadu,South,637030,2025-07-10,Silver,App Install,Both,Active,1781,1833227,1
100,Gautami,Kade,Female,1982-01-23,gautami.kade782@gmail.com,05212197429,Lucknow,Uttar Pradesh,North,556040,2024-11-09,Silver,Referral,Both,Active,1618,2255149,4
101,Panini,Batra,Female,1981-08-12,panini.batra562@gmail.com,+913182165171,Mumbai,Maharashtra,West,488325,2022-09-06,Silver,Email,Store,Active,1161,2224483,3
102,Balvan,Wagle,Male,1977-07-10,balvan.wagle525@gmail.com,5860741822,Hyderabad,Telangana,South,891425,2025-01-25,Bronze,Organic Search,Online,Active,377,2068561,3
103,Jagat,Mani,Male,1966-07-22,jagat.mani824@gmail.com,+910256148521,Kolkata,West Bengal,East,868738,2026-05-09,Gold,Google Ads,Both,Active,3327,334626,7
104,Gautami,Virk,Female,1998-01-06,gautami.virk506@gmail.com,02732213817,Kolkata,West Bengal,East,533709,2023-06-11,Bronze,Organic Search,Both,Active,148,1614737,2
105,Bachittar,Chana,Male,1957-08-31,bachittar.chana831@gmail.com,1558950846,Chennai,Tamil Nadu,South,950063,2024-12-05,Bronze,Email,Online,Active,103,897817,7
106,Daniel,Barad,Male,1960-05-02,daniel.barad483@gmail.com,07535966792,Jaipur,Rajasthan,North,962497,2023-03-17,Silver,Referral,Store,Inactive,1316,1699202,3
107,Riya,Prabhu,Female,1987-12-09,riya.prabhu442@gmail.com,+916701262622,Lucknow,Uttar Pradesh,North,684974,2026-04-12,Gold,Referral,Both,Active,5662,1435299,6
108,Owen,Chaudry,Male,1968-03-02,owen.chaudry901@gmail.com,9915162162,Chennai,Tamil Nadu,South,450644,2023-06-17,Gold,Referral,Both,Active,3267,515351,5
109,Lakshit,Comar,Male,1996-11-29,lakshit.comar186@gmail.com,+917630404835,Jaipur,Rajasthan,North,049596,2021-12-25,Bronze,Google Ads,Both,Active,336,1534347,2
110,Akshay,Sachar,Male,1956-01-24,akshay.sachar887@gmail.com,+914696355147,Chennai,Tamil Nadu,South,252898,2025-05-13,Platinum,Meta Ads,Online,Active,14983,2395530,2
111,Veda,Kulkarni,Female,1960-11-26,veda.kulkarni202@gmail.com,08374521464,Jaipur,Rajasthan,North,946934,2023-11-08,Silver,Organic Search,Both,Active,1470,1965286,5
112,Indrajit,Saxena,Male,1956-05-11,indrajit.saxena404@gmail.com,2423732166,Pune,Maharashtra,West,578999,2025-06-04,Bronze,Organic Search,Online,Active,245,908051,4
113,Abhiram,Chatterjee,Male,1960-04-22,abhiram.chatterjee108@gmail.com,02077694245,Delhi,Delhi,North,296606,2026-02-22,Silver,Meta Ads,Store,Active,701,2141998,6
114,Panini,Atwal,Female,1982-01-21,panini.atwal588@gmail.com,04192692372,Chennai,Tamil Nadu,South,277740,2025-03-20,Bronze,Email,Both,Active,260,1519096,7
115,Saanvi,Jha,Female,2005-03-26,saanvi.jha185@gmail.com,+918350246567,Hyderabad,Telangana,South,182360,2023-02-18,Bronze,Referral,Store,Active,182,1347621,5
116,Akshay,Tank,Male,1975-04-20,akshay.tank527@gmail.com,+910132445872,Delhi,Delhi,North,331060,2021-09-27,Gold,Meta Ads,Store,Active,5727,1068081,3
117,Dhruv,Khanna,Male,1980-04-09,dhruv.khanna102@gmail.com,00998323177,Jaipur,Rajasthan,North,182643,2025-08-07,Gold,Google Ads,Store,Active,5993,1384808,4
118,Yauvani,Verma,Female,1979-10-15,yauvani.verma554@gmail.com,+918234376140,Jaipur,Rajasthan,North,172334,2026-06-08,Silver,Organic Search,Store,Active,1499,2139896,7
119,Atharv,Rege,Male,1991-01-30,atharv.rege684@gmail.com,00419475832,Chennai,Tamil Nadu,South,842885,2026-04-28,Silver,App Install,Both,Active,860,2060988,4
120,Alexander,Kothari,Male,2008-01-08,alexander.kothari859@gmail.com,+916511110047,Delhi,Delhi,North,955928,2025-06-11,Bronze,App Install,Online,Active,313,1983377,6
121,Yashawini,Purohit,Female,1977-06-03,yashawini.purohit323@gmail.com,+913823105692,Jaipur,Rajasthan,North,286282,2025-09-04,Bronze,Organic Search,Both,Active,107,273604,1
122,Lakshmi,Apte,Female,1958-06-03,lakshmi.apte574@gmail.com,5250124762,Mumbai,Maharashtra,West,737903,2022-10-22,Gold,Referral,Online,Active,5412,1852885,5
123,Zaitra,Butala,Female,1979-05-12,zaitra.butala243@gmail.com,07623238631,Kolkata,West Bengal,East,832371,2021-11-13,Bronze,Organic Search,Online,Inactive,162,2448672,5
124,Ranbir,Balasubramanian,Male,1968-02-12,ranbir.balasubramanian375@gmail.com,2070029199,Bengaluru,Karnataka,South,712238,2021-08-21,Gold,Google Ads,Store,Active,4289,269812,1
125,Abdul,Sastry,Male,1975-08-08,abdul.sastry533@gmail.com,+913308224872,Kolkata,West Bengal,East,112441,2025-10-13,Bronze,Google Ads,Both,Active,290,1605311,3
126,Rehaan,Pingle,Male,1962-02-21,rehaan.pingle907@gmail.com,+917894039330,Lucknow,Uttar Pradesh,North,815409,2026-01-30,Bronze,Email,Store,Active,10,788240,7
127,Omya,Walla,Female,1962-03-05,omya.walla956@gmail.com,09458642113,Pune,Maharashtra,West,888969,2024-04-27,Silver,Meta Ads,Both,Active,573,316541,3
128,Yashvi,Dugal,Female,1957-04-24,yashvi.dugal413@gmail.com,+915512239706,Ahmedabad,Gujarat,West,040825,2022-07-31,Gold,App Install,Both,Active,4677,425039,2
129,Devika,Deshpande,Female,1976-04-11,devika.deshpande444@gmail.com,04675258209,Pune,Maharashtra,West,197309,2024-06-19,Platinum,Email,Store,Active,10981,1043834,2
130,Jhalak,Patla,Female,1981-11-12,jhalak.patla455@gmail.com,2724667255,Mumbai,Maharashtra,West,310512,2022-03-01,Bronze,Email,Online,Active,459,940990,4
131,Wahab,Dass,Male,1978-10-24,wahab.dass303@gmail.com,8891250700,Bengaluru,Karnataka,South,085159,2025-11-26,Silver,Organic Search,Both,Active,1836,2024056,6
132,Ikshita,Buch,Female,1959-10-11,ikshita.buch504@gmail.com,+911621953843,Kolkata,West Bengal,East,842875,2022-02-17,Bronze,Google Ads,Store,Active,307,1820855,5
133,Aadhya,Pillay,Female,1992-03-07,aadhya.pillay551@gmail.com,05424023234,Hyderabad,Telangana,South,060419,2025-02-04,Gold,App Install,Online,Active,5891,2217903,7
134,Lakshit,Rajan,Male,1980-08-18,lakshit.rajan790@gmail.com,08904015725,Hyderabad,Telangana,South,655851,2026-03-27,Bronze,Meta Ads,Both,Active,380,2113207,6
135,Vansha,Kurian,Female,1989-12-07,vansha.kurian722@gmail.com,+917834768762,Delhi,Delhi,North,930857,2022-02-14,Bronze,Email,Both,Active,110,461373,4
136,Hema,Edwin,Female,1992-10-02,hema.edwin252@gmail.com,+911529639962,Mumbai,Maharashtra,West,451515,2025-12-18,Silver,Google Ads,Both,Active,1086,1377641,6
137,Hema,Chokshi,Female,2003-06-07,hema.chokshi205@gmail.com,5897544727,Ahmedabad,Gujarat,West,315331,2025-04-08,Gold,Google Ads,Online,Active,4282,966597,1
138,Isaac,Bora,Male,2004-06-25,isaac.bora394@gmail.com,02178354074,Hyderabad,Telangana,South,263175,2024-05-07,Silver,Referral,Store,Active,1900,975714,1
139,Qushi,Kadakia,Female,1956-10-08,qushi.kadakia956@gmail.com,+919879233644,Bengaluru,Karnataka,South,085858,2022-12-18,Bronze,Organic Search,Online,Active,279,2204915,5
140,Jai,Sathe,Male,1972-04-05,jai.sathe183@gmail.com,03020541731,Kolkata,West Bengal,East,591943,2025-10-06,Bronze,Meta Ads,Online,Inactive,455,742233,2
141,Pratyush,Nayak,Male,2003-10-11,pratyush.nayak593@gmail.com,1273272168,Bengaluru,Karnataka,South,199112,2023-09-03,Bronze,Email,Online,Active,219,941892,5
142,Rushil,Pai,Male,1984-12-09,rushil.pai388@gmail.com,+914894085823,Jaipur,Rajasthan,North,140668,2025-07-19,Silver,Google Ads,Store,Active,1216,2356768,4
143,Dev,Wadhwa,Male,1978-09-08,dev.wadhwa484@gmail.com,+918791242473,Jaipur,Rajasthan,North,707443,2026-01-11,Silver,Email,Online,Active,927,984337,4
144,Jagvi,Walia,Female,1963-04-13,jagvi.walia292@gmail.com,06714290094,Ahmedabad,Gujarat,West,610409,2024-02-17,Bronze,Meta Ads,Both,Active,403,496503,3
145,Vritti,Chander,Female,2007-10-05,vritti.chander124@gmail.com,03225747472,Ahmedabad,Gujarat,West,158481,2023-02-25,Bronze,Referral,Store,Active,297,1477458,3
146,Isha,Amble,Female,2003-01-29,isha.amble331@gmail.com,5382638467,Ahmedabad,Gujarat,West,188849,2025-01-24,Silver,Google Ads,Both,Active,1234,1143184,1
147,Onkar,Yadav,Male,1963-06-30,onkar.yadav419@gmail.com,07635417838,Pune,Maharashtra,West,736310,2021-12-06,Bronze,App Install,Store,Active,396,2048386,4
148,Raagini,Shetty,Female,1964-08-26,raagini.shetty999@gmail.com,+919555597887,Chennai,Tamil Nadu,South,756328,2025-04-03,Bronze,Meta Ads,Store,Inactive,94,2247956,6
149,Varsha,Tara,Female,1995-06-28,varsha.tara305@gmail.com,09113484570,Kolkata,West Bengal,East,357467,2022-09-05,Silver,Referral,Store,Inactive,1028,2218429,3
150,Aadi,Krishnamurthy,Male,1982-10-27,aadi.krishnamurthy130@gmail.com,05762209946,Mumbai,Maharashtra,West,086501,2025-11-17,Platinum,App Install,Both,Active,18647,848663,7
